"","Name","Ratings","Language","Year","Num_of_episodes","Genre","Duration","Network","Director","Screenwriter","Top_cast"
"https://mydramalist.com//15293-okitegami-kyoko-no-biboroku","Okitegami Kyoko no Biboroku","8.2","Japanese",2015,10,"Mystery,Comedy,Romance","Duration: 45 min.","","Toya Sato,Komuro Naoko","Nogi Akiko","Aragaki Yui,Okada Masaki,Oikawa Mitsuhiro,Arioka Daiki,Uchida Rio,Kudo Shunsaku"
"https://mydramalist.com//76615-voice-4","Voice 4: Judgment Hour","8.2","Korean",2021,14,"Action,Thriller,Mystery,Crime","Duration: 1 hr. 3 min.","WeTV,Viki,Prime Video","Shin Yong Hwi","","Lee  Ha Na ,Song Seung Heon,Son Eun Seo,Kang Seung Yoon,Lee Kyu Hyung,Baek Sung Hyun"
"https://mydramalist.com//51651-i-don-t-want-to-be-friends-with-you","I Don't Want To Be Friends With You","8.2","Chinese",2020,24,"Comedy,Romance,Youth,Fantasy","Duration: 45 min.","Viki,MGTV Drama Channel,KUKAN,MGTV","Tian Yu","","Amy Chen,Sabrina Zhuang,Zhou Yan Chen,Kido Ma,Sui Yuan,Cheng Yao Hui"
"https://mydramalist.com//24058-the-brightest-star-in-the-sky","The Brightest Star in the Sky","8.2","Chinese",2019,44,"Music,Comedy,Romance,Youth","Duration: 45 min.","WeTV,Viki,HUACE GLOBAL FUN,AsianCrush,Apple TV","Wang Yan Da,Zuo Mo Jia,Liu Ran","Liu Yi Zhi","Z. Tao,Janice Wu,Niu Jun Feng,Cao Xi Yue,David Chen,Xiao Liu Jia"
"https://mydramalist.com//7930-legal-high-2","Legal High 2","8.2","Japanese",2013,10,"Mystery,Business,Comedy,Law","Duration: 54 min.","WeTV","Kosawa Ryota","","Sakai Masato,Aragaki Yui,Okada Masaki,Satomi Kotaro,Taguchi Junnosuke,Kuroki Haru"
"https://mydramalist.com//695431-blue-birthday","Blue Birthday","8.2","Korean",2021,16,"Thriller,Romance,Drama,Fantasy","Duration: 20 min.","WeTV,Viki","Park Dhan Hee","","Yeri,Yang Hong Seok,Lee Sang Jun,Kim Yi Seo,Kim Gyeol Yu,Park Joo Hyun"
"https://mydramalist.com//20464-solomons-perjury","Solomon's Perjury","8.2","Korean",2016,12,"Friendship,Law,School,Drama","Duration: 60 min.","Netflix,Viki","Kim Ho Soo","","Kim Hyun Soo,Jang Dong Yoon,Seo Ji Hoon,Seo Young Joo,Jo Jae Hyun,Shin Se Hwi"
"https://mydramalist.com//58565-watashitachi-wa-douka-shiteiru","Watashitachi wa Douka Shiteiru","8.2","Japanese",2020,8,"Food,Thriller,Psychological,Romance","Duration: 60 min.","Netflix,WeTV","Inomata Ryuichi,Akashi Hiroto,Komuro Naoko","","Hamabe Minami,Yokohama Ryusei,Mizuki Alisa,Takasugi Mahiro,Kishii Yukino,Yamazaki Ikusaburo"
"https://mydramalist.com//24623-doctor-x-5","Doctor X 5","8.2","Japanese",2017,10,"Drama,Medical","Duration: 45 min.","Netflix","Matsuda Hidetomo,Tamura Naomi","","Yonekura Ryoko,Uchida Yuki,Kishibe Ittoku,Ohmura Tomohiro,Endo Kenichi,Danta Yasunori"
"https://mydramalist.com//14805-kiss-me","Kiss Me","8.2","Thai",2015,20,"Comedy,Romance,School","Duration: 45 min.","Netflix","Nine Sarasawadee Wongsompetch","","Aom Sushar Manaying,Mike Angelo,Tao Sattaphong Phiangphor,Bubear Pim,Intira Yuenyong,Chaoey Suthada Jongjaiphar"
"https://mydramalist.com//35519-cheap-cheonlima-mart","Pegasus Market","8.2","Korean",2019,12,"Business,Comedy,Drama","Duration: 1 hr. 15 min.","","Kim Sol Ji","","Kim Byung Chul,Lee Dong Hwi,Jung Hye Sung,Choi Kwang Je,Jung Min Sung,Kang Hong Suk"
"https://mydramalist.com//18756-ruyis-royal-love-in-the-palace","Ruyi's Royal Love in the Palace","8.2","Chinese",2018,87,"Historical,Romance,Drama,Melodrama","Duration: 45 min.","Viki,Prime Video,MZTV,Disney+","Wang  Jun,Cheng Yuan Hai","","Zhou Xun,Wallace Huo,Janine Chang,Dong Jie,Xin Zhi Lei,Tong Yao"
